YEAR,WEEK,"BIRMINGHAM, AL","MOBILE, AL","MONTGOMERY, AL","PHOENIX, AZ","TUCSON, AZ","LITTLE ROCK, AR","BERKELEY, CA","FRESNO, CA","GLENDALE, CA","LONG BEACH, CA","LOS ANGELES, CA","OAKLAND, CA","PASADENA, CA","SACRAMENTO, CA","SAN DIEGO, CA","SAN FRANCISCO, CA","SAN JOSE, CA","SANTA CRUZ, CA","COLORADO SPRINGS, CO","DENVER, CO","PUEBLO, CO","BRIDGEPORT, CT","HARTFORD, CT","NEW HAVEN, CT","WATERBURY, CT","WILMINGTON, DE","WASHINGTON, DC","JACKSONVILLE, FL","MIAMI, FL","ST PETERSBURG, FL","TAMPA, FL","ATLANTA, GA","SAVANNAH, GA","HONOLULU, HI","BOISE, ID","CHICAGO, IL","PEORIA, IL","ROCKFORD, IL","EVANSVILLE, IN","FORT WAYNE, IN","GARY, IN","INDIANAPOLIS, IN","SOUTH BEND, IN","DES MOINES, IA","KANSAS CITY, KS","WICHITA, KS","LEXINGTON, KY","LOUISVILLE, KY","BATON ROUGE, LA","NEW ORLEANS, LA","SHREVEPORT, LA","BALTIMORE, MD","BOSTON, MA","CAMBRIDGE, MA","FALL RIVER, MA","LOWELL, MA","LYNN, MA","NEW BEDFORD, MA","SOMERVILLE, MA","SPRINGFIELD, MA","WORCESTER, MA","DETROIT, MI","GRAND RAPIDS, MI","DULUTH, MN","MINNEAPOLIS, MN","ST PAUL, MN","KANSAS CITY, MO","ST LOUIS, MO","LINCOLN, NE","OMAHA, NE","LAS VEGAS, NV","CAMDEN, NJ","ELIZABETH, NJ","JERSEY CITY, NJ","NEWARK, NJ","PATERSON, NJ","TRENTON, NJ","ALBUQUERQUE, NM","ALBANY, NY","BUFFALO, NY","ROCHESTER, NY","SCHENECTADY, NY","SYRACUSE, NY","UTICA, NY","YONKERS, NY","CHARLOTTE, NC","CANTON, OH","CINCINNATI, OH","CLEVELAND, OH","COLUMBUS, OH","DAYTON, OH","TOLEDO, OH","YOUNGSTOWN, OH","TULSA, OK","PORTLAND, OR","ALLENTOWN, PA","ERIE, PA","PHILADELPHIA, PA","PITTSBURGH, PA","READING, PA","SCRANTON, PA",PROVIDENCE,"CHATTANOOGA, TN","KNOXVILLE, TN","MEMPHIS, TN","NASHVILLE, TN","AUSTIN, TX","CORPUS CHRISTI, TX","DALLAS, TX","EL PASO, TX","FORT WORTH, TX","HOUSTON, TX","SAN ANTONIO, TX","OGDEN, UT","SALT LAKE CITY, UT","NORFOLK, VA","RICHMOND, VA","SEATTLE, WA","SPOKANE, WA","TACOMA, WA","MILWAUKEE, WI"
1969,29,2,1,3,1,2,4,2,2,1,2,12,1,-,1,2,5,-,-,7,8,2,1,1,-,-,2,3,2,-,9,5,4,7,2,4,32,1,8,2,4,2,3,2,1,5,9,3,22,1,8,5,4,12,7,1,1,-,1,1,7,1,5,4,3,-,2,4,7,-,-,-,2,1,6,1,-,5,2,4,2,20,1,2,2,4,1,1,2,1,-,6,-,2,5,2,4,3,6,9,-,4,7,5,2,5,4,8,4,3,1,4,9,7,3,2,7,3,1,1,1,2
1969,30,1,1,4,-,3,4,-,2,-,-,10,2,-,1,2,2,6,2,9,3,-,8,2,-,-,1,5,3,-,4,4,3,2,-,-,21,-,1,1,1,7,4,2,1,5,6,8,5,6,2,8,4,11,5,1,1,5,-,2,9,1,8,3,-,4,-,3,6,-,4,-,1,3,3,4,2,2,2,2,2,19,1,3,4,2,-,1,2,5,6,5,2,1,3,3,6,2,2,8,1,-,7,4,-,7,1,2,-,2,3,1,3,2,2,1,6,7,3,-,-,2
1969,31,2,1,3,-,3,3,1,-,-,3,9,2,-,3,3,5,5,1,4,5,-,5,-,1,-,3,5,3,-,3,4,1,1,-,1,14,-,6,1,1,1,4,3,1,1,9,4,14,2,4,2,10,11,-,-,1,-,-,-,5,2,8,2,4,-,-,9,3,-,2,-,2,1,3,5,2,1,2,1,7,6,1,4,1,2,2,3,2,1,8,2,7,1,5,1,2,3,8,14,2,4,2,4,1,6,1,2,-,10,5,2,2,1,2,2,3,6,1,-,2,2
1969,32,2,1,2,1,-,4,1,1,-,3,13,1,1,-,2,3,5,3,2,5,-,6,3,-,-,3,3,1,-,3,6,2,4,1,-,18,1,4,1,5,4,4,-,-,2,2,4,10,-,9,4,1,13,3,1,3,-,-,-,4,4,3,-,1,-,-,1,2,3,4,1,2,-,4,-,4,3,4,-,6,5,2,3,1,3,-,-,9,4,3,-,2,2,7,4,3,1,5,14,-,2,5,1,-,2,4,2,-,2,4,1,11,-,2,3,5,1,2,1,-,2
1969,33,2,1,4,3,2,4,1,-,-,1,8,1,2,1,5,5,8,1,5,4,1,2,3,2,-,2,7,-,-,6,6,3,2,3,1,21,-,2,2,2,4,1,1,1,6,-,5,13,2,2,1,4,7,6,-,1,1,1,-,4,4,8,2,6,4,2,1,9,1,2,-,1,-,9,2,-,2,3,-,-,4,3,3,3,-,1,-,-,2,-,3,1,-,3,2,2,-,7,4,2,-,4,5,4,1,1,4,1,3,6,1,4,1,-,1,5,5,3,-,-,1
1969,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1969,35,1,3,4,2,1,5,1,1,-,3,5,1,1,-,-,5,1,2,1,4,1,5,2,3,-,3,6,9,-,6,2,4,1,2,3,25,1,5,-,3,7,1,2,-,2,9,5,16,-,1,3,6,8,4,1,-,-,-,-,2,3,10,6,-,3,3,-,4,1,1,-,2,1,6,5,1,1,2,3,5,-,2,1,-,1,2,1,-,5,6,2,2,1,11,2,7,2,5,10,-,3,7,4,1,2,2,5,-,1,5,2,4,3,2,2,2,4,2,-,3,3
1969,36,-,4,-,1,2,2,-,2,-,1,6,3,-,1,2,-,1,3,2,1,-,5,1,-,1,-,4,2,-,4,3,1,1,2,2,29,1,4,2,1,4,2,2,1,-,4,5,9,-,2,3,3,15,4,1,-,-,-,1,3,4,6,10,6,3,-,3,4,4,-,-,2,3,2,3,4,1,2,1,4,6,5,-,1,7,1,1,3,4,7,1,6,1,2,3,1,4,5,9,-,5,3,2,-,1,2,5,-,2,1,4,3,1,-,1,-,2,3,-,1,-
1969,37,1,1,4,-,2,1,-,1,-,2,10,-,1,2,4,3,6,7,1,3,-,2,-,-,-,2,9,2,-,3,10,6,4,1,2,21,1,3,3,5,3,5,2,2,4,7,9,17,-,4,1,3,8,4,-,1,2,-,2,7,4,12,2,1,2,1,2,7,1,2,-,1,1,4,2,1,5,5,1,5,5,1,2,5,4,1,2,1,9,4,2,-,2,9,3,2,-,9,16,-,2,-,5,2,2,1,6,-,2,2,6,3,7,-,1,3,6,7,2,-,-
1969,38,-,-,-,1,-,5,-,2,-,3,7,2,1,-,1,3,-,2,1,4,1,2,2,2,-,2,5,3,-,7,9,1,4,-,4,16,1,3,4,1,7,2,3,-,2,5,5,9,1,3,3,7,6,4,-,2,1,1,-,5,9,9,5,-,-,-,1,4,1,1,2,2,-,3,3,2,5,3,2,1,3,2,1,3,2,2,1,2,2,5,3,2,2,4,4,5,6,4,11,-,4,4,5,5,4,1,6,2,3,2,4,2,3,1,2,6,3,2,1,1,3
1969,39,2,1,3,1,1,2,-,-,-,2,15,4,1,-,1,3,2,-,2,3,-,2,3,-,1,3,2,4,-,4,6,3,1,1,1,23,1,2,5,4,4,2,2,1,3,3,5,20,2,2,1,2,10,10,1,2,-,1,-,1,5,12,5,4,4,2,2,-,-,-,-,3,1,6,3,1,-,2,1,-,1,2,-,2,2,2,1,1,5,3,7,3,1,4,1,4,-,5,11,1,1,1,2,2,5,1,3,-,1,3,2,6,3,1,-,6,1,8,-,-,3
1969,40,3,-,-,1,5,2,-,-,1,2,15,1,1,-,1,1,3,-,5,3,-,7,2,2,-,1,3,2,-,7,5,3,3,4,2,20,1,2,-,3,3,4,2,8,5,5,10,13,1,4,4,3,15,8,-,2,-,-,2,5,9,7,6,-,4,-,1,9,1,3,-,1,1,3,3,-,4,2,2,2,1,2,-,4,4,4,1,4,4,4,-,2,-,3,-,1,4,6,6,3,3,4,3,1,2,3,5,1,4,1,1,4,1,4,-,-,3,1,1,1,-
1969,41,1,-,2,1,5,3,-,-,-,2,9,1,1,-,1,6,-,8,2,4,4,3,1,-,-,3,7,2,-,6,4,1,3,-,2,21,-,7,2,4,-,4,2,-,4,8,3,12,3,6,8,5,10,5,-,2,2,2,2,5,4,7,2,2,1,2,2,5,-,2,-,1,-,4,5,1,3,2,2,2,5,2,3,-,3,2,2,2,4,-,1,1,-,3,1,5,3,6,12,-,-,5,7,1,2,2,2,-,4,4,3,3,3,1,-,6,9,3,-,-,2
1969,42,2,3,7,2,2,5,2,-,-,-,7,1,2,2,4,2,1,5,3,6,2,1,1,-,-,2,2,3,-,6,10,10,1,3,1,19,-,3,5,5,2,4,-,2,2,6,5,18,-,7,3,1,17,6,-,2,1,-,3,5,3,6,5,2,2,1,4,2,-,6,-,2,-,6,3,-,2,2,1,1,1,4,2,2,4,2,1,4,9,1,4,3,2,9,4,4,6,6,15,2,1,6,2,-,2,3,2,-,2,3,4,2,2,4,1,11,2,11,2,1,2
1969,43,2,1,5,-,2,3,-,-,1,3,2,5,1,1,-,4,-,3,1,4,3,4,3,1,-,2,5,10,5,3,3,2,2,-,-,26,-,5,1,2,4,3,-,2,3,7,6,8,3,3,3,2,8,6,-,6,-,-,1,-,2,16,1,4,5,4,2,9,1,3,-,-,1,5,3,2,-,3,2,4,9,3,2,6,1,1,1,3,4,4,-,-,-,2,1,3,5,4,11,-,2,5,1,5,-,2,2,2,1,-,2,3,1,1,1,3,6,2,2,3,5
1969,43,2,1,5,-,2,3,-,-,1,3,2,5,1,1,-,4,-,1,1,4,3,4,3,1,-,2,5,10,5,3,3,2,2,-,-,26,-,5,1,2,4,3,-,2,3,7,8,8,3,3,3,2,8,6,-,6,-,-,1,-,2,16,1,4,5,4,2,9,1,3,2,-,1,5,3,2,-,3,2,4,9,3,2,6,1,1,1,3,4,4,-,-,-,2,1,3,5,4,11,-,2,5,1,5,-,2,2,2,1,-,2,3,1,1,1,3,6,2,2,3,5
1969,44,3,2,2,2,1,5,1,1,1,1,10,1,2,-,3,-,3,-,7,6,-,6,-,-,-,3,8,5,-,1,6,6,2,-,3,23,-,2,2,2,9,2,3,3,3,4,6,16,3,2,4,5,18,2,-,1,-,2,1,5,6,6,3,2,1,2,1,7,1,-,-,3,3,7,3,-,6,4,2,4,4,1,3,4,4,3,2,2,3,2,2,2,1,4,6,4,1,3,17,-,2,2,7,-,3,1,5,-,4,2,6,6,4,2,-,6,9,4,3,2,3
1969,45,-,2,3,1,3,4,1,2,-,-,10,3,1,-,-,3,1,3,5,4,-,3,2,1,-,2,7,4,5,6,11,5,1,3,2,27,-,1,3,3,-,1,2,3,2,6,8,12,3,3,3,5,12,6,3,2,-,2,-,4,7,9,4,2,4,1,3,5,-,2,1,-,1,5,9,3,4,2,-,1,1,1,2,2,2,5,-,4,8,1,4,1,-,7,2,4,2,7,9,2,2,2,4,-,1,2,2,1,1,1,5,5,6,-,-,4,9,2,1,-,5
1969,46,2,2,1,1,2,6,-,-,-,4,10,1,-,1,2,3,1,2,2,5,5,5,2,-,-,-,10,3,-,1,5,10,2,-,4,18,-,4,2,1,1,5,3,1,2,5,9,7,-,2,3,7,12,7,-,1,-,1,1,2,5,11,9,2,2,1,-,9,1,1,-,5,1,7,-,2,2,4,2,7,3,4,2,3,3,5,4,-,3,7,7,-,2,2,4,4,5,10,12,-,3,8,4,3,3,2,2,-,3,5,3,2,4,1,4,8,5,7,-,1,4
1969,47,1,2,4,1,6,2,-,1,-,3,13,1,-,-,-,9,1,4,1,2,-,4,2,-,-,4,7,1,7,5,11,5,2,2,3,36,2,3,3,6,3,4,2,1,2,8,5,26,-,9,5,7,11,9,2,3,1,1,2,2,6,7,6,3,2,-,6,7,-,4,-,1,2,8,6,-,3,4,-,4,5,-,2,6,3,1,4,3,6,3,4,-,1,7,5,3,7,13,14,-,1,5,4,7,3,1,4,-,8,5,3,6,1,4,-,7,5,-,-,1,3
1969,48,5,2,1,-,2,-,1,4,-,-,8,2,1,1,2,-,1,9,3,4,2,3,3,-,-,1,8,1,4,6,8,3,1,-,1,17,2,5,2,6,1,5,1,4,2,4,9,8,4,4,4,4,14,4,1,1,3,1,1,4,5,5,5,3,1,1,4,10,-,1,1,4,1,3,1,-,3,3,1,4,6,2,5,2,3,2,1,3,2,4,2,5,-,1,2,3,8,6,9,6,1,3,4,1,1,2,5,-,6,3,2,2,4,1,-,4,3,3,1,-,-
1969,49,2,3,5,1,3,3,1,1,-,1,12,3,1,1,2,4,-,8,5,4,-,4,2,4,-,2,15,1,6,3,11,6,1,2,7,21,-,6,1,3,-,6,3,-,5,7,12,14,1,3,5,9,20,9,-,4,-,1,5,2,8,9,6,6,1,4,2,4,1,5,-,3,4,8,6,1,1,10,1,10,5,1,2,3,4,3,2,6,5,2,4,4,-,9,2,7,2,3,19,5,1,3,4,4,3,-,6,2,5,5,4,3,2,3,3,6,6,1,2,2,3
1969,50,2,2,2,1,2,2,-,1,1,5,13,1,2,5,2,3,2,5,1,2,-,2,2,4,-,4,5,3,-,1,7,9,5,1,4,25,-,2,2,4,5,5,4,3,4,5,-,19,1,9,9,9,11,3,-,2,3,2,1,7,5,7,4,3,4,3,1,2,2,4,1,3,1,8,8,3,5,5,5,4,2,2,2,8,5,-,2,6,4,1,3,5,4,6,8,1,4,11,12,5,3,9,7,1,4,-,12,2,7,4,3,2,3,5,3,5,3,2,-,-,4
1969,51,2,2,2,1,3,3,-,1,-,3,12,1,1,2,2,7,4,5,-,4,2,2,1,2,1,6,10,2,4,6,13,4,2,-,2,24,-,5,2,5,3,2,3,-,3,6,6,11,2,8,13,5,15,9,1,2,-,2,-,3,5,7,5,3,1,4,-,6,1,-,-,2,2,4,7,2,3,6,1,6,9,2,2,5,5,2,1,7,7,2,3,2,4,3,3,3,5,9,18,2,-,6,4,3,2,3,4,2,3,2,8,2,5,3,1,3,7,3,-,1,2
1969,52,-,1,-,1,2,3,-,2,1,3,4,1,-,2,1,3,4,9,2,5,-,1,2,-,-,4,9,4,1,1,3,9,5,-,2,22,1,4,1,6,1,3,1,1,2,2,6,14,1,5,5,5,9,9,-,2,2,1,1,2,3,7,4,3,2,-,1,6,2,1,3,1,1,6,4,1,1,2,1,6,9,2,-,6,2,1,2,3,4,2,4,4,-,3,3,5,4,2,12,1,-,6,-,1,4,1,5,1,4,-,2,2,4,2,3,3,1,1,1,3,1
1969,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1970,1,2,2,2,1,3,3,-,6,-,4,14,4,2,1,1,5,1,5,2,3,2,5,3,1,-,2,9,7,4,11,9,7,2,1,-,27,3,5,-,4,6,3,5,4,7,11,7,18,6,3,9,8,17,7,1,2,5,3,1,5,6,13,4,2,3,3,3,13,2,4,-,4,5,8,9,-,2,5,2,8,8,2,3,5,5,3,5,1,3,2,5,5,2,7,1,6,5,16,24,2,5,4,10,1,4,4,8,-,7,4,3,6,5,3,2,11,4,4,1,1,5
1970,2,2,11,3,-,2,4,-,2,-,4,14,1,2,1,2,6,3,6,4,7,3,7,5,1,1,2,14,3,8,10,7,4,7,1,3,31,-,9,-,13,-,1,4,4,3,10,3,18,3,4,8,14,25,8,-,1,2,-,1,2,5,17,3,2,6,5,1,12,2,-,1,2,2,6,9,2,4,4,3,4,14,1,2,5,8,3,3,10,7,6,4,4,2,12,5,5,3,10,16,-,6,6,5,4,9,4,6,2,8,4,9,16,6,1,-,9,11,12,2,-,-
1970,3,1,4,1,1,3,3,-,2,1,2,22,-,-,1,4,13,1,2,4,5,1,7,2,1,1,6,13,2,9,7,10,7,3,1,8,27,1,5,3,6,4,-,2,1,3,8,5,18,3,2,7,5,32,10,2,4,3,-,1,4,-,9,9,5,2,3,2,11,-,6,-,6,3,9,5,4,-,6,2,5,13,1,4,5,4,-,5,7,6,3,-,-,2,6,4,7,3,5,21,1,6,4,5,2,5,5,2,-,3,6,4,11,6,3,2,2,5,10,2,2,4
1970,4,7,3,2,6,7,3,-,7,-,6,21,5,2,2,3,6,2,5,3,4,2,4,3,1,-,5,13,4,9,2,10,9,2,2,2,28,3,6,3,3,4,1,8,3,3,10,6,9,-,1,3,16,25,14,1,4,-,1,1,4,9,10,10,-,3,5,6,10,2,3,1,7,5,14,7,4,2,6,1,7,16,2,5,4,1,3,4,6,8,1,2,3,3,2,6,3,11,3,19,3,1,7,11,1,5,8,8,3,8,3,10,5,6,2,2,8,18,15,4,2,6
1970,5,2,7,3,3,7,5,-,2,3,4,18,2,2,1,2,9,5,5,3,9,4,6,2,2,1,1,5,6,5,5,13,11,6,2,5,38,1,6,-,8,4,1,5,3,6,10,7,17,7,6,8,17,23,7,2,4,2,3,2,3,7,12,10,2,5,6,3,10,-,2,-,6,3,5,9,3,2,5,1,9,14,2,3,5,1,2,5,9,2,5,2,3,1,7,5,3,7,12,17,4,1,5,7,5,3,8,5,2,7,7,7,10,6,1,-,9,17,14,-,2,4
1970,6,7,4,1,3,2,5,-,1,-,1,19,5,-,3,5,3,1,2,5,2,1,4,5,1,1,4,15,3,14,2,13,9,5,-,9,32,2,6,5,5,3,4,2,3,3,3,3,10,5,13,10,7,25,5,2,6,-,4,1,2,8,13,7,1,2,3,2,8,8,3,-,4,2,15,7,4,8,17,-,2,4,1,3,6,7,4,1,11,5,2,2,4,1,6,-,4,11,10,14,4,5,14,6,-,5,9,7,5,3,10,9,14,7,2,-,5,14,5,1,2,3
1970,7,6,6,5,3,10,2,1,5,-,2,14,2,2,1,2,13,2,6,6,3,-,4,5,3,-,3,14,2,5,9,24,11,4,2,3,37,-,2,3,5,3,6,5,6,-,12,7,17,3,15,4,13,20,11,2,5,-,5,1,8,2,16,7,1,6,1,2,6,-,4,4,7,2,7,12,2,1,8,3,4,9,6,5,3,3,2,3,10,14,6,7,6,1,8,5,5,5,12,22,-,6,7,2,10,8,6,6,6,8,4,7,23,6,8,1,5,12,4,3,5,2
1970,8,4,5,3,3,4,1,-,1,2,3,22,3,-,2,2,9,2,6,4,4,-,1,1,5,-,6,9,8,8,6,15,14,8,1,2,48,3,5,2,8,8,3,7,3,4,6,4,7,4,14,15,13,18,7,6,2,2,4,3,7,5,17,8,-,4,4,1,9,2,-,-,4,1,7,2,4,2,10,5,5,6,3,2,-,3,3,3,8,5,8,8,7,-,9,3,5,5,9,18,1,3,4,8,2,3,10,5,2,7,5,10,8,6,5,4,7,9,8,1,-,5
1970,9,6,6,9,3,6,6,2,-,-,4,18,2,1,3,2,10,3,3,3,11,1,2,2,2,1,3,8,15,4,6,12,11,3,-,3,31,2,2,2,4,-,5,5,3,1,9,13,20,8,8,5,12,19,5,2,1,-,4,1,4,2,18,11,-,6,3,1,14,2,2,-,2,-,2,6,2,2,4,1,1,6,7,1,3,2,7,4,7,6,-,7,5,2,3,3,4,3,15,17,-,1,4,8,7,4,8,3,-,7,4,5,10,10,4,4,3,10,4,4,-,-
1970,10,4,2,3,-,5,2,-,2,1,6,10,2,1,-,3,4,3,1,3,9,-,6,-,-,-,5,9,3,3,4,7,16,5,2,5,23,1,4,6,2,1,3,2,2,1,8,10,12,6,2,1,7,18,3,1,2,1,3,-,5,3,10,3,5,4,6,1,6,2,3,1,1,2,5,4,1,3,3,5,3,7,2,3,2,2,2,6,10,7,-,3,3,1,6,4,5,3,10,21,3,6,6,9,2,15,6,8,2,10,5,3,6,2,-,2,7,2,4,-,1,2
1970,11,2,6,-,-,3,3,3,1,-,2,12,1,-,3,4,7,1,5,3,4,5,1,1,2,-,3,16,2,10,3,15,12,6,-,-,15,1,6,2,5,3,4,3,1,3,5,7,16,-,5,11,8,22,6,-,1,-,1,1,9,-,12,3,1,4,-,2,8,5,2,-,-,2,7,3,-,1,7,-,6,5,4,2,4,5,4,3,4,8,-,5,5,-,3,5,3,5,6,13,3,2,2,6,3,8,5,7,-,4,4,4,8,5,2,-,6,9,4,-,5,-
1970,12,4,1,4,1,5,3,-,1,-,3,19,3,1,1,2,8,2,3,7,7,1,7,2,2,-,2,8,9,5,3,5,5,6,1,6,19,1,7,-,2,3,2,3,1,4,2,4,14,-,2,11,7,12,7,-,2,-,1,1,5,-,8,5,-,2,-,1,7,2,1,-,1,1,7,6,-,1,6,3,2,3,2,5,-,5,5,-,4,7,-,3,7,-,6,2,5,7,2,8,-,-,5,16,6,5,5,5,2,4,1,5,5,-,4,1,6,9,5,1,2,3
1970,13,3,1,1,3,4,4,1,-,-,1,11,2,1,1,4,4,2,5,2,4,4,2,1,-,-,3,5,4,7,6,10,5,3,2,3,24,3,4,-,4,3,1,3,1,3,14,3,10,-,3,8,4,10,4,1,5,2,2,1,5,2,5,2,1,2,-,2,5,1,2,2,1,-,12,1,5,1,6,2,4,8,-,3,1,2,3,1,4,5,-,4,2,2,6,3,1,3,4,16,-,2,4,7,4,5,4,4,-,3,3,6,6,4,2,1,8,7,3,2,3,-
1970,14,5,2,2,-,3,3,-,4,2,5,11,1,1,2,5,4,3,5,5,4,3,1,-,-,-,1,4,6,1,7,8,5,4,-,4,21,-,3,2,5,3,-,5,1,1,5,6,15,-,3,1,5,18,5,-,1,2,2,-,6,-,5,3,-,2,1,2,5,1,-,-,5,-,5,2,1,2,5,-,7,6,2,1,3,5,1,2,8,9,-,6,2,-,8,-,5,3,6,13,2,1,5,4,-,6,-,2,-,3,4,6,9,3,4,1,6,11,7,2,4,2
1970,15,-,3,4,2,-,2,1,2,-,3,20,3,2,1,1,4,1,5,5,3,2,6,1,2,-,1,6,3,3,6,6,1,2,2,4,22,-,3,3,4,4,1,2,1,7,6,8,4,2,4,3,2,7,3,-,1,-,1,-,2,1,9,5,5,6,1,2,3,1,-,1,2,1,6,2,2,4,5,2,1,3,3,3,5,3,2,3,7,2,-,2,8,9,5,3,2,3,9,17,-,3,9,2,1,2,2,2,3,3,4,4,2,4,-,2,3,8,2,-,1,2
1970,16,6,2,1,4,3,-,-,-,-,3,13,1,-,-,2,4,-,4,2,11,3,7,-,-,-,-,7,5,9,5,5,8,6,1,2,24,1,6,2,5,4,2,3,-,3,8,7,12,2,6,7,10,10,3,3,5,-,2,1,5,3,9,4,-,2,1,-,5,-,-,1,1,1,4,2,2,3,8,1,2,2,3,1,3,1,1,2,9,-,-,4,6,3,6,4,1,3,7,10,-,2,1,3,2,6,4,3,1,4,6,5,7,6,1,1,3,9,-,2,-,1
1970,17,6,2,-,-,1,1,-,2,2,4,8,3,-,-,2,9,2,7,2,5,-,1,1,-,-,1,5,3,1,1,9,5,6,1,3,24,-,2,3,2,3,3,5,1,3,3,4,6,-,5,4,5,14,3,-,1,-,-,2,6,6,10,2,-,3,3,-,12,3,2,-,5,-,9,3,1,6,5,1,4,8,-,-,3,4,1,1,3,-,-,2,3,2,3,2,2,7,10,10,-,2,4,4,-,8,2,9,-,3,4,3,7,4,2,-,4,2,2,1,-,2
1970,18,-,3,4,-,6,1,1,2,1,4,14,-,3,1,-,6,2,6,2,7,2,2,1,3,-,6,4,1,-,-,8,7,1,2,2,18,2,2,2,3,1,1,1,1,-,4,11,8,-,3,4,4,17,3,-,-,-,-,2,5,2,8,6,3,4,1,3,2,-,-,-,3,1,7,3,1,3,7,-,6,7,2,2,2,1,-,1,7,9,-,-,3,1,9,6,1,-,6,11,-,1,3,10,-,5,3,5,1,7,4,7,2,5,2,1,5,6,4,-,-,3
1970,19,2,-,3,1,5,3,-,1,-,1,13,2,1,1,-,10,2,2,7,5,1,3,3,-,1,3,8,1,1,2,5,1,3,-,-,11,-,3,4,2,3,4,3,1,3,5,12,18,2,4,3,4,16,3,-,-,-,6,1,9,4,6,7,-,5,1,1,3,-,3,-,4,1,5,1,1,1,6,2,2,-,6,1,6,4,-,3,1,5,-,1,3,1,4,2,2,1,5,5,2,3,4,5,2,4,2,2,1,3,2,3,5,2,-,2,5,2,4,3,1,-
1970,20,4,-,4,1,3,3,1,3,-,5,8,-,-,1,2,3,-,1,-,2,2,4,2,-,-,5,16,3,-,4,3,4,2,1,4,16,1,4,2,3,5,2,-,2,4,4,3,11,2,6,1,7,9,2,1,1,-,1,-,3,4,5,7,-,1,-,-,4,-,-,-,1,2,4,3,4,2,6,1,2,9,3,-,3,1,-,3,11,6,-,3,4,1,5,6,2,1,6,8,2,-,2,7,3,2,1,4,1,5,8,6,8,4,3,1,3,9,5,-,-,1
1970,21,-,-,2,1,1,3,3,-,1,1,17,2,-,1,4,7,4,2,6,5,-,-,2,-,1,1,7,3,4,3,7,5,3,-,3,21,-,3,2,-,2,-,8,-,3,3,4,14,2,1,6,5,12,3,-,1,1,2,2,4,-,3,1,2,-,3,1,6,2,2,-,1,2,4,4,1,2,3,-,3,6,2,-,1,1,-,-,2,5,-,2,3,1,2,2,3,6,6,3,-,5,2,4,1,4,2,6,-,1,3,1,5,3,2,2,7,9,4,-,-,1
1970,22,2,-,4,2,1,1,-,-,2,1,8,2,1,-,2,4,-,5,8,6,5,2,-,1,1,2,8,1,1,2,9,4,-,2,1,8,2,2,2,2,5,3,2,2,2,3,9,10,1,1,6,3,11,4,3,3,-,3,1,8,3,5,6,3,5,1,2,3,-,1,-,-,2,6,7,6,2,5,1,2,7,2,1,5,1,-,-,7,5,-,-,2,-,4,-,4,6,11,14,-,1,4,7,1,2,5,2,-,3,4,2,4,2,-,2,5,5,-,-,-,5
1970,23,2,-,1,1,2,5,-,3,-,5,14,2,-,1,1,4,1,2,3,9,-,7,1,-,-,4,6,3,1,5,4,3,3,2,4,15,-,1,4,1,3,3,2,2,2,5,10,8,-,1,3,2,17,5,-,1,-,4,-,1,1,12,5,-,2,1,-,6,-,-,-,-,1,3,2,-,3,2,-,1,3,2,2,3,1,2,1,7,4,-,2,4,-,2,2,4,3,5,8,2,1,4,-,2,1,1,2,3,2,3,3,5,2,3,1,4,2,4,-,-,1
1970,24,-,1,1,2,-,5,-,-,-,4,9,-,1,-,1,3,1,4,1,4,-,6,-,1,-,1,6,-,1,6,1,7,1,1,4,27,-,5,1,2,4,4,4,2,1,4,4,12,2,2,5,3,10,8,-,-,-,2,2,4,5,8,5,-,5,-,2,6,-,-,-,2,-,3,6,2,2,4,-,4,7,1,2,2,1,-,1,5,5,-,2,6,1,9,3,3,6,4,10,2,2,4,1,1,4,5,4,-,3,3,6,3,4,1,2,4,7,2,-,2,-
1970,25,-,1,4,1,3,2,2,2,4,6,7,1,2,3,2,3,-,2,3,2,1,3,-,1,-,2,6,1,4,2,7,3,2,-,1,10,-,2,-,1,2,6,3,1,2,3,5,9,-,3,4,4,12,6,-,-,-,1,1,3,3,8,7,1,4,-,-,2,-,1,1,1,-,6,5,3,1,6,1,3,3,1,-,2,1,-,5,3,3,-,2,4,-,3,1,3,4,3,7,1,1,5,2,4,3,4,3,1,3,1,2,7,3,3,1,5,6,2,-,-,5
